ray_id, impact_parameter(kpc), bulk velocity(km/s)[vx, vy, vz], ray_start(kpc)[x, y, z], ray_end(kpc)[x, y, z], sim_center(kpc)[x,y,z] 
0 71.38 77.79 -243.55 -68.39 -1.792463e+04 -1.284575e+04 5.669434e+03 -1.811422e+04 -1.324468e+04 5.435123e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
1 99.86 77.79 -243.55 -68.39 -1.822431e+04 -1.307212e+04 5.811536e+03 -1.784936e+04 -1.323996e+04 5.526509e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
2 77.95 77.79 -243.55 -68.39 -1.806602e+04 -1.329967e+04 5.487971e+03 -1.805890e+04 -1.281158e+04 5.596243e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
3 39.78 77.79 -243.55 -68.39 -1.828903e+04 -1.311439e+04 5.636199e+03 -1.780171e+04 -1.307717e+04 5.530656e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
4 37.47 77.79 -243.55 -68.39 -1.798785e+04 -1.331601e+04 5.574202e+03 -1.801805e+04 -1.282342e+04 5.654479e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
5 46.68 77.79 -243.55 -68.39 -1.789746e+04 -1.286725e+04 5.662887e+03 -1.818451e+04 -1.327664e+04 5.660461e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
6 31.48 77.79 -243.55 -68.39 -1.792522e+04 -1.315716e+04 5.407620e+03 -1.814357e+04 -1.304527e+04 5.843286e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
7 91.57 77.79 -243.55 -68.39 -1.790063e+04 -1.329577e+04 5.578283e+03 -1.817715e+04 -1.289246e+04 5.473969e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
8 57.79 77.79 -243.55 -68.39 -1.821130e+04 -1.308550e+04 5.805873e+03 -1.782960e+04 -1.298132e+04 5.500182e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
9 26.39 77.79 -243.55 -68.39 -1.797660e+04 -1.287226e+04 5.476467e+03 -1.809537e+04 -1.329873e+04 5.708888e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
10 32.58 77.79 -243.55 -68.39 -1.803837e+04 -1.308062e+04 5.363041e+03 -1.810267e+04 -1.308680e+04 5.858850e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
11 69.22 77.79 -243.55 -68.39 -1.814355e+04 -1.283724e+04 5.653393e+03 -1.797001e+04 -1.330261e+04 5.711027e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
12 16.51 77.79 -243.55 -68.39 -1.786939e+04 -1.324607e+04 5.557636e+03 -1.818573e+04 -1.287811e+04 5.678200e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
13 87.99 77.79 -243.55 -68.39 -1.796487e+04 -1.309568e+04 5.867972e+03 -1.810340e+04 -1.288864e+04 5.434445e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
14 97.45 77.79 -243.55 -68.39 -1.794324e+04 -1.282219e+04 5.604877e+03 -1.826482e+04 -1.319362e+04 5.697713e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
