ray_id, impact_parameter(kpc), bulk velocity(km/s)[vx, vy, vz], ray_start(kpc)[x, y, z], ray_end(kpc)[x, y, z], sim_center(kpc)[x,y,z] 
0 37.92 77.79 -243.55 -68.39 -1.793310e+04 -1.330053e+04 5.631288e+03 -1.821066e+04 -1.288567e+04 5.602081e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
1 76.67 77.79 -243.55 -68.39 -1.808685e+04 -1.304240e+04 5.870602e+03 -1.795578e+04 -1.323377e+04 5.427660e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
2 23.34 77.79 -243.55 -68.39 -1.806887e+04 -1.282882e+04 5.670113e+03 -1.801051e+04 -1.332127e+04 5.606189e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
3 17.23 77.79 -243.55 -68.39 -1.781802e+04 -1.318270e+04 5.581137e+03 -1.824827e+04 -1.294639e+04 5.676263e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
4 57.70 77.79 -243.55 -68.39 -1.797345e+04 -1.323139e+04 5.804714e+03 -1.820185e+04 -1.297734e+04 5.439613e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
5 54.91 77.79 -243.55 -68.39 -1.779901e+04 -1.311979e+04 5.685747e+03 -1.827959e+04 -1.298719e+04 5.647538e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
6 21.70 77.79 -243.55 -68.39 -1.820313e+04 -1.289208e+04 5.678687e+03 -1.785996e+04 -1.324483e+04 5.590330e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
7 44.36 77.79 -243.55 -68.39 -1.827249e+04 -1.317289e+04 5.594576e+03 -1.785746e+04 -1.289766e+04 5.639302e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
8 54.74 77.79 -243.55 -68.39 -1.780203e+04 -1.312562e+04 5.691453e+03 -1.828734e+04 -1.312277e+04 5.571199e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
9 65.35 77.79 -243.55 -68.39 -1.796093e+04 -1.310706e+04 5.371603e+03 -1.821784e+04 -1.299195e+04 5.784815e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
10 41.20 77.79 -243.55 -68.39 -1.780467e+04 -1.316240e+04 5.637562e+03 -1.825194e+04 -1.293994e+04 5.659188e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
11 27.84 77.79 -243.55 -68.39 -1.780134e+04 -1.311359e+04 5.681618e+03 -1.828321e+04 -1.300855e+04 5.599343e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
12 14.66 77.79 -243.55 -68.39 -1.817746e+04 -1.287890e+04 5.696101e+03 -1.791318e+04 -1.325893e+04 5.507087e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
13 82.14 77.79 -243.55 -68.39 -1.811256e+04 -1.331919e+04 5.669662e+03 -1.799398e+04 -1.290352e+04 5.418351e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
14 52.44 77.79 -243.55 -68.39 -1.780339e+04 -1.303638e+04 5.526528e+03 -1.827276e+04 -1.317760e+04 5.625281e+03 -1.804034e+04 -1.307212e+04 5.615004e+03
