ray_id, impact_parameter(kpc), bulk velocity(km/s)[vx, vy, vz], ray_start(kpc)[x, y, z], ray_end(kpc)[x, y, z], sim_center(kpc)[x,y,z] 
0 98.83 -34.42 -151.63 62.14 5.897656e+04 5.678331e+04 6.071781e+04 5.873144e+04 5.678813e+04 6.115358e+04 5.876986e+04 5.680637e+04 6.088814e+04
1 85.59 -34.42 -151.63 62.14 5.883985e+04 5.658780e+04 6.101912e+04 5.855844e+04 5.694426e+04 6.080995e+04 5.876986e+04 5.680637e+04 6.088814e+04
2 68.16 -34.42 -151.63 62.14 5.897628e+04 5.673710e+04 6.074764e+04 5.867017e+04 5.688992e+04 6.111226e+04 5.876986e+04 5.680637e+04 6.088814e+04
3 93.56 -34.42 -151.63 62.14 5.877976e+04 5.706892e+04 6.084098e+04 5.865811e+04 5.663703e+04 6.106160e+04 5.876986e+04 5.680637e+04 6.088814e+04
4 88.32 -34.42 -151.63 62.14 5.891128e+04 5.658213e+04 6.089237e+04 5.863337e+04 5.696725e+04 6.104873e+04 5.876986e+04 5.680637e+04 6.088814e+04
5 69.59 -34.42 -151.63 62.14 5.879218e+04 5.706426e+04 6.086974e+04 5.876017e+04 5.659428e+04 6.103736e+04 5.876986e+04 5.680637e+04 6.088814e+04
6 98.34 -34.42 -151.63 62.14 5.877400e+04 5.662670e+04 6.068846e+04 5.894717e+04 5.691652e+04 6.105726e+04 5.876986e+04 5.680637e+04 6.088814e+04
7 96.83 -34.42 -151.63 62.14 5.881272e+04 5.707039e+04 6.086988e+04 5.868435e+04 5.663181e+04 6.107279e+04 5.876986e+04 5.680637e+04 6.088814e+04
8 65.25 -34.42 -151.63 62.14 5.889482e+04 5.660292e+04 6.098688e+04 5.874062e+04 5.698538e+04 6.070414e+04 5.876986e+04 5.680637e+04 6.088814e+04
9 66.63 -34.42 -151.63 62.14 5.889446e+04 5.697611e+04 6.073779e+04 5.863976e+04 5.658448e+04 6.091600e+04 5.876986e+04 5.680637e+04 6.088814e+04
10 80.60 -34.42 -151.63 62.14 5.862702e+04 5.659572e+04 6.082319e+04 5.896029e+04 5.696810e+04 6.080704e+04 5.876986e+04 5.680637e+04 6.088814e+04
11 91.64 -34.42 -151.63 62.14 5.862391e+04 5.661999e+04 6.076625e+04 5.879947e+04 5.707096e+04 6.089197e+04 5.876986e+04 5.680637e+04 6.088814e+04
12 59.08 -34.42 -151.63 62.14 5.871974e+04 5.659915e+04 6.074483e+04 5.870540e+04 5.702574e+04 6.100525e+04 5.876986e+04 5.680637e+04 6.088814e+04
